Epoch 276    Validation MSELoss: 1.337095e-05    Training MSELoss: 6.208028e-05
Epoch 277    Validation MSELoss: 2.537462e-05    Training MSELoss: 5.654003e-05
Epoch 278    Validation MSELoss: 2.527004e-05    Training MSELoss: 5.324890e-05
Epoch 279    Validation MSELoss: 1.616317e-05    Training MSELoss: 5.730713e-05
Epoch 280    Validation MSELoss: 2.054446e-05    Training MSELoss: 5.120104e-05
Epoch 281    Validation MSELoss: 1.625471e-05    Training MSELoss: 5.664118e-05
Epoch 282    Validation MSELoss: 1.599168e-05    Training MSELoss: 5.363340e-05
Epoch 283    Validation MSELoss: 2.335848e-05    Training MSELoss: 5.698339e-05
Epoch 284    Validation MSELoss: 2.312375e-05    Training MSELoss: 5.109085e-05
Epoch 285    Validation MSELoss: 1.416919e-05    Training MSELoss: 5.071158e-05
Epoch 286    Validation MSELoss: 9.889590e-06    Training MSELoss: 5.083022e-05
Epoch 287    Validation MSELoss: 2.766441e-05    Training MSELoss: 5.603534e-05
Epoch 288    Validation MSELoss: 1.749215e-05    Training MSELoss: 8.225928e-05
Epoch 289    Validation MSELoss: 1.794963e-05    Training MSELoss: 4.783714e-05
Epoch 290    Validation MSELoss: 2.082158e-05    Training MSELoss: 5.700494e-05
Epoch 291    Validation MSELoss: 1.285871e-05    Training MSELoss: 5.323349e-05
Epoch 292    Validation MSELoss: 1.243861e-05    Training MSELoss: 4.607505e-05
Epoch 293    Validation MSELoss: 1.468464e-05    Training MSELoss: 5.083190e-05
Epoch 294    Validation MSELoss: 1.137553e-05    Training MSELoss: 5.276986e-05
Epoch 295    Validation MSELoss: 1.729191e-05    Training MSELoss: 5.061667e-05
Epoch 296    Validation MSELoss: 1.765080e-05    Training MSELoss: 4.818564e-05
Epoch 297    Validation MSELoss: 1.480359e-05    Training MSELoss: 4.321304e-05
Epoch 298    Validation MSELoss: 1.936561e-05    Training MSELoss: 5.479781e-05
Epoch 299    Validation MSELoss: 1.178305e-05    Training MSELoss: 4.695093e-05
Epoch 300    Validation MSELoss: 9.843732e-06    Training MSELoss: 4.928466e-05
Epoch 301    Validation MSELoss: 1.437264e-05    Training MSELoss: 4.815690e-05
Epoch 302    Validation MSELoss: 1.127051e-05    Training MSELoss: 4.690067e-05
Epoch 303    Validation MSELoss: 1.774880e-05    Training MSELoss: 5.030382e-05
Epoch 304    Validation MSELoss: 1.507142e-05    Training MSELoss: 5.441139e-05
Epoch 305    Validation MSELoss: 1.313917e-05    Training MSELoss: 5.315837e-05
Epoch 306    Validation MSELoss: 1.646454e-05    Training MSELoss: 4.972968e-05
Epoch 307    Validation MSELoss: 2.879733e-05    Training MSELoss: 5.424673e-05
Epoch 308    Validation MSELoss: 1.698573e-05    Training MSELoss: 4.540331e-05
Epoch 309    Validation MSELoss: 1.045048e-05    Training MSELoss: 5.516583e-05
Epoch 310    Validation MSELoss: 1.787783e-05    Training MSELoss: 4.591582e-05
Epoch 311    Validation MSELoss: 1.519791e-05    Training MSELoss: 4.689430e-05
Epoch 312    Validation MSELoss: 9.990330e-06    Training MSELoss: 4.776278e-05
Epoch 313    Validation MSELoss: 1.106517e-05    Training MSELoss: 5.124351e-05
Epoch 314    Validation MSELoss: 1.385960e-05    Training MSELoss: 4.485423e-05
Epoch 315    Validation MSELoss: 9.182299e-06    Training MSELoss: 4.681549e-05
Epoch 316    Validation MSELoss: 1.067399e-05    Training MSELoss: 4.508629e-05
Epoch 317    Validation MSELoss: 1.211733e-05    Training MSELoss: 5.064350e-05
Epoch 318    Validation MSELoss: 1.106009e-05    Training MSELoss: 4.506786e-05
Epoch 319    Validation MSELoss: 1.367952e-05    Training MSELoss: 4.806021e-05
Epoch 320    Validation MSELoss: 1.374346e-05    Training MSELoss: 4.576748e-05
Epoch 321    Validation MSELoss: 1.269106e-05    Training MSELoss: 4.306860e-05
Epoch 322    Validation MSELoss: 9.345220e-06    Training MSELoss: 4.593968e-05
Epoch 323    Validation MSELoss: 2.477685e-05    Training MSELoss: 4.669591e-05
Epoch 324    Validation MSELoss: 9.691347e-06    Training MSELoss: 4.511834e-05
Epoch 325    Validation MSELoss: 1.168551e-05    Training MSELoss: 4.930447e-05
Epoch 326    Validation MSELoss: 1.261034e-05    Training MSELoss: 4.985107e-05
Epoch 327    Validation MSELoss: 8.466727e-06    Training MSELoss: 4.696496e-05
Epoch 328    Validation MSELoss: 8.017746e-06    Training MSELoss: 4.401825e-05
Epoch 329    Validation MSELoss: 6.910765e-06    Training MSELoss: 4.137180e-05
Epoch 330    Validation MSELoss: 2.492162e-05    Training MSELoss: 4.787970e-05
Epoch 331    Validation MSELoss: 8.585942e-06    Training MSELoss: 4.553555e-05
Epoch 332    Validation MSELoss: 1.703402e-05    Training MSELoss: 4.614831e-05
